0字节	0位元組
厄尔尼诺	聖嬰
厄爾尼諾	聖嬰
圣文森特和格林纳丁斯	聖文森及格瑞那丁
聖文森特和格林納丁斯	聖文森及格瑞那丁
圣赫勒拿	聖赫倫那
圣卢西亚	聖露西亞
聖盧西亞	聖露西亞
圣马力诺	聖馬利諾
聖馬力諾	聖馬利諾
肯尼亚	肯亞
氨基酸	胺基酸
脊樑	脊梁
自由泳	自由式
三藩市	舊金山
艾森豪威尔	艾森豪
埃菲尔	艾菲爾
阿里埃勒·沙龍	艾里爾·夏隆
阿里埃勒·沙龙	艾里爾·夏隆
帕塔亚	芭達亞
黎克特制	黎克特制
里氏0	芮氏0
里氏1	芮氏1
里氏2	芮氏2
里氏3	芮氏3
里氏4	芮氏4
里氏5	芮氏5
里氏6	芮氏6
里氏7	芮氏7
里氏8	芮氏8
里氏9	芮氏9
里氏地震规模	芮氏地震規模
里氏规模	芮氏規模
里氏震级	芮氏規模
当且仅当	若且唯若
味美思	苦艾酒
毛里塔尼亚	茅利塔尼亞
毛里塔尼亞	茅利塔尼亞
霍尔木兹	荷姆茲
霍爾木茲	荷姆茲
霍尼亚拉	荷尼阿拉
霍尼亞拉	荷尼阿拉
荷里活廣場	荷里活廣場
荷里活道	荷里活道
莫桑比克	莫三比克
瓦文萨	華勒沙
華里沙	華勒沙
瓦格纳	華格納
烟具	菸具
煙具	菸具
烟品	菸品
煙品	菸品
烟嘴	菸嘴
煙嘴	菸嘴
烟卷	煙捲
煙捲	菸捲
烟斗	菸斗
煙斗	菸斗
烟民	菸民
煙民	菸民
烟灰	菸灰
煙灰	菸灰
烟瘾	菸癮
煙癮	菸癮
烟丝	菸絲
煙絲	菸絲
烟草	菸草
煙草	菸草
烟叶	菸葉
煙葉	菸葉
烟蒂	菸蒂
煙蒂	菸蒂
烟袋	菸袋
煙袋	菸袋
烟农	菸農
煙農	菸農
烟酒	菸酒
煙酒	菸酒
烟头	菸頭
煙頭	菸頭
烟鬼	菸鬼
煙鬼	菸鬼
烟碱	菸鹼
煙鹼	菸鹼
万历朝鲜战争	萬曆朝鮮戰爭
瓦努阿图	萬那杜
瓦努阿圖	萬那杜
叶利钦	葉爾欽
葉利欽	葉爾欽
埃里温	葉里溫
埃里溫	葉里溫
也門	葉門
也门	葉門
着	著
着眼于	著眼於
科摩罗	葛摩
科摩羅	葛摩
格林美獎	葛萊美獎
格莱美奖	葛萊美獎
黑山共和国	蒙特內哥羅共和國
黑山共和國	蒙特內哥羅共和國
蒙特利尔	蒙特婁
蒙特利爾	蒙特婁
普密蓬	蒲美蓬
布隆迪	蒲隆地
圭亚那	蓋亞那
基地组织	蓋達組織
阿爾蓋達組織	蓋達組織
肖斯塔科维奇	蕭士塔高維奇
蕭士達高維契	蕭士塔高維奇
肖邦	蕭邦
薛定谔	薛丁格
扎伊尔	薩伊
扎伊爾	薩伊
素檀	蘇丹
苏里南	蘇利南
蘇里南	蘇利南
浮罗交怡	蘭卡威
浮羅交怡	蘭卡威
劳拉	蘿拉
虚拟现实	虛擬實境
荧光	螢光
荧屏	螢屏
行人路权	行人路權
行人路權	行人路權
流動作業系統	行動作業系統
移动操作系统	行動作業系統
流動應用程式	行動應用程式
移动应用程序	行動應用程式
流動支付	行動支付
移动支付	行動支付
流動網絡	行動網路
移动网络	行動網路
流動互聯網	行動網際網路
移动互联网	行動網際網路
流動裝置	行動裝置
移动设备	行動裝置
流動電話	行動電話
移动电话	行動電話
冲着	衝着
埃塞俄比亚	衣索比亞
埃塞俄比亞	衣索比亞
克隆人	複製人
国际象棋	西洋棋
國際象棋	西洋棋
赫梯	西臺
分辨率	解析度
解像度	解析度
译码	解碼
触摸屏	觸控螢幕
出租车	計程車
约翰逊	詹森
诺曼底	諾曼第
瑙魯	諾魯
瑙鲁	諾魯
科特迪瓦	象牙海岸
碧咸	貝克漢
貝寧共和國	貝南共和國
贝宁共和国	貝南共和國
貝爾格萊德	貝爾格勒
贝尔格莱德	貝爾格勒
伯利兹	貝里斯
伯利茲	貝里斯
首席财务官	財務長
集装箱	貨櫃
数据库	資料庫
數據庫	資料庫
信息时代	資訊時代
信息论	資訊理論
乔布斯	賈伯斯
本·拉登	賓·拉登
宾西法尼亚	賓夕法尼亞
本拉登	賓拉登
利比里亚	賴比瑞亞
利比里亞	賴比瑞亞
莱索托	賴索托
萊索托	賴索托
塞浦路斯	賽普勒斯
赫丘勒·波洛	赫丘勒·白羅
赫鲁晓夫	赫魯雪夫
跳樑小丑	跳梁小丑
切尔诺贝利	車諾比
软驱	軟碟機
軟件	軟體
软件	軟體
津巴布韋	辛巴威
津巴布韦	辛巴威
德特里克堡	迪特里克堡
径入	逕入
径到	逕到
径取	逕取
径启	逕啟
径寄	逕寄
径庭	逕庭
径往	逕往
径自	逕自
径行	逕行
径迎	逕迎
链接	連結
連結他	連結他
进制	進制
道琼斯	道瓊
道瓊斯	道瓊
达·芬奇	達·文西
达芬奇	達文西
溫納圖萬	那杜
丘吉尔	邱吉爾
多普勒	都卜勒
酰	醯
里士满	里奇蒙
金沙萨	金夏沙
金沙薩	金夏沙
健力士世界紀錄	金氏世界紀錄
健力士世界纪录	金氏世界紀錄
吉尼斯世界纪录	金氏世界紀錄
钚	鈈
鈎	鉤
钩	鈎
锎	鐦
锫	錇
镅	鎇
鋼樑	鋼梁
镎	鎿
钫	鈁
炼金	鍊金
锻炼	鍛鍊
锝	鍀
鐵杆	鐵桿
铁杆	鐵桿
泰坦尼克号	鐵達尼號
锿	鎄
关系着	關係著
写保护	防寫
阿布扎比	阿布達比
阿拉伯联合酋长国	阿拉伯聯合大公國
阿拉伯聯合酋長國	阿拉伯聯合大公國
亚拉巴马	阿拉巴馬
阿联酋	阿聯
阿聯酋	阿聯
亚的斯亚贝巴	阿迪斯阿貝巴
亞的斯亞貝巴	阿迪斯阿貝巴
罗纳德·里根	隆納·雷根
私隱	隱私
耶加達	雅加達
雅尔塔	雅爾達
雅爾塔	雅爾達
雅穆苏克雷	雅穆索戈
雅穆蘇克雷	雅穆索戈
雕樑畫棟	雕梁畫棟
悉尼	雪梨
雪茄烟	雪茄菸
雪茄煙	雪茄菸
莱特湾	雷伊泰灣
萊特灣	雷伊泰灣
激光	雷射
雷诺阿	雷諾瓦
电子烟	電子菸
電子煙	電子菸
晶体管	電晶體
晶體管	電晶體
电杆	電桿
电线杆	電線桿
电脑程序	電腦程式
计算机程序	電腦程式
电脑网络	電腦網路
電腦網絡	電腦網路
荷尔斯泰因	霍爾斯坦
荷爾斯泰因	霍爾斯坦
面包着	面包著
朝鲜战争	韓戰
声卡	音效卡
缺省	預設
导弹	飛彈
糊口	餬口
香烟	香菸
香煙	香菸
馬里共和國	馬利共和國
马里共和国	馬利共和國
馬拉維	馬拉威
马拉维	馬拉威
馬勒當拿	馬拉度納
马拉多纳	馬拉度納
馬斯特里赫特	馬斯垂克
马斯特里赫特	馬斯垂克
马耳他	馬爾他
馬爾代夫	馬爾地夫
马尔代夫	馬爾地夫
高清化	高畫質化
高清电视	高畫質電視
高清電視	高畫質電視
斗着	鬥著
魯賓斯·巴里切羅	魯本·巴瑞切羅
迈克尔	麥可
麦克尔	麥可
迈凯轮	麥拿輪
邁凱輪	麥拿輪
马萨诸塞	麻薩諸塞
粘膜	黏膜
戴安娜	黛安娜
狄安娜	黛安娜
点烟	點菸
點煙	點菸
霉素	黴素
鼻樑	鼻梁
㐷	傌
㐹	㑶
㐽	偑
㑇	㑳
㑈	倲
㑔	㑯
㑩	儸
㓥	劏
㔉	劚
㖊	噚
㖞	喎
㘎	㘚
㚯	㜄
㛀	媰
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㟆	㠏
㟜	𡾱
㟥	嵾
㡎	幓
㤖	懧
㤘	㥮
㤭	憍
㤽	懤
㥪	慺
㦈	𢣏
㧏	掆
㧐	㩳
㧑	撝
㧛	擥
㧟	擓
㧰	擽
㨫	㩜
㭎	棡
㭏	椲
㭣	𣙎
㭤	樢
㭴	樫
㮠	𣞁
㱩	殰
㱮	殨
㲿	瀇
㳔	濧
㳠	澾
㳡	濄
㳢	𣾷
㳽	瀰
㴋	潚
㶉	鸂
㶶	燶
㶽	煱
㺍	獱
㻅	璯
㻏	𤫩
㻘	𤪺
㾡	𤷽
䀥	䁻
䁖	瞜
䂵	碽
䃅	磾
䅉	稏
䅟	穇
䅪	𥢢
䇚	𥵜
䇲	筴
䉤	籔
䌶	䊷
䌷	紬
䌸	縳
䌹	絅
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䌿	䋹
䍀	繿
䍁	繸
䎬	䎱
䏝	膞
䓓	薵
䓖	藭
䖼	𧍕
䗖	螮
䘛	𧝞
䘞	𧜗
䙊	𧜵
䙌	䙡
䙓	襬
䛓	譼
䜣	訢
䜤	鿁
䜥	𧩙
䜧	䜀
䜩	讌
䝙	貙
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䟢	躎
䢀	𨊰
䢁	𨊸
䢂	𨋢
䥺	釾
䥽	鏺
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦃	鐯
䦅	鐥
䦆	钁
䦶	䦛
䦷	䦟
䩄	靦
䭪	𩞯
䯃	𩣑
䯄	騧
䯅	䯀
䲝	䱽
䲞	𩶘
䲟	鮣
䲠	鰆
䲡	鰌
䲢	鰧
䲣	䱷
䲤	鿐
䴓	鳾
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䴘	鷈
䴙	鷿
䶮	龑
万	萬
与	與
专	專
业	業
丛	叢
东	東
丝	絲
丢	丟
两	兩
严	嚴
丧	喪
个	個
丰	豐
临	臨
为	為
丽	麗
举	舉
么	麼
义	義
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
争	爭
于	於
亏	虧
云	雲
亚	亞
产	產
亩	畝
亲	親
亵	褻
亸	嚲
亿	億
仅	僅
从	從
仑	侖
仓	倉
仪	儀
们	們
价	價
众	眾
优	優
会	會
伛	傴
伞	傘
伟	偉
传	傳
伡	俥
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伪	偽
伫	佇
体	體
佣	傭
佥	僉
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
俣	俁
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俭	儉
债	債
倾	傾
偬	傯
偻	僂
偾	僨
偿	償
傥	儻
傧	儐
储	儲
傩	儺
儿	兒
兑	兌
兖	兗
党	黨
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸
冁	囅
内	內
冈	岡
册	冊
写	寫
军	軍
农	農
冯	馮
冲	沖
决	決
况	況
冻	凍
净	淨
凄	淒
凉	涼
减	減
凑	湊
凛	凜
几	幾
凤	鳳
凫	鳧
凭	憑
凯	凱
击	擊
凿	鑿
刍	芻
划	劃
刘	劉
则	則
刚	剛
创	創
删	刪
别	別
刬	剗
刭	剄
刹	剎
刽	劊
刾	㓨
刿	劌
剀	剴
剂	劑
剐	剮
剑	劍
剥	剝
剧	劇
劝	勸
办	辦
务	務
劢	勱
动	動
励	勵
劲	勁
劳	勞
势	勢
勋	勛
勚	勩
匀	勻
匦	匭
匮	匱
区	區
医	醫
华	華
协	協
单	單
卖	賣
卢	盧
卤	鹵
卧	臥
卫	衛
却	卻
厂	廠
厅	廳
历	歷
厉	厲
压	壓
厌	厭
厍	厙
厐	龎
厕	廁
厢	廂
厣	厴
厦	廈
厨	廚
厩	廄
厮	廝
县	縣
叁	叄
参	參
叆	靉
叇	靆
双	雙
发	發
变	變
叙	敘
叠	疊
叶	葉
号	號
叹	嘆
叽	嘰
后	後
吓	嚇
吕	呂
吗	嗎
吣	唚
吨	噸
听	聽
启	啟
吴	吳
呐	吶
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
咏	詠
咙	嚨
咛	嚀
咝	噝
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩
哙	噲
哜	嚌
哝	噥
哟	喲
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
唤	喚
啧	嘖
啬	嗇
啭	囀
啮	齧
啯	嘓
啰	囉
啴	嘽
啸	嘯
喂	餵
喷	噴
喽	嘍
喾	嚳
嗫	囁
嗳	噯
嘘	噓
嘤	嚶
嘱	囑
噜	嚕
嚣	囂
团	團
园	園
囱	囪
围	圍
囵	圇
国	國
图	圖
圆	圓
圣	聖
圹	壙
场	場
坏	壞
块	塊
坚	堅
坛	壇
坜	壢
坝	壩
坞	塢
坟	墳
坠	墜
垄	壟
垅	壠
垆	壚
垒	壘
垦	墾
垩	堊
垫	墊
垭	埡
垯	墶
垱	壋
垲	塏
埘	塒
埙	塤
埚	堝
