16進位制	16进位制
伴著稱	伴著称
伴著者	伴著者
伴著述	伴著述
點陣圖	位图
低著	低着
低著書	低著书
低著作	低著作
低著名	低著名
低著錄	低著录
低著称	低著称
低著稱	低著称
低著者	低著者
低著述	低著述
住著	住着
住著書	住著书
住著作	住著作
住著名	住著名
住著錄	住著录
住著称	住著称
住著稱	住著称
住著者	住著者
住著述	住著述
餘	馀
維德角	佛得角
侏儸紀	侏罗纪
側著	侧着
側著書	侧著书
側著作	侧著作
側著名	侧著名
側著錄	侧著录
側著稱	侧著称
側著者	侧著者
側著述	侧著述
可攜式	便携式
攜帶型	便携式
促著	促着
奧勒岡	俄勒冈
保護著	保护着
保鑣	保镖
保障著	保障着
保障著書	保障著书
保障著作	保障著作
保障著名	保障著名
保障著錄	保障著录
保障著称	保障著称
保障著稱	保障著称
保障著者	保障著者
保障著述	保障著述
資訊時代	信息时代
資訊理論	信息论
信著	信着
信著《	信著《
信著書	信著书
信著作	信著作
信著名	信著名
信著錄	信著录
信著称	信著称
信著稱	信著称
信著者	信著者
信著述	信著述
伏地挺身	俯卧撑
掌上壓	俯卧撑
倒帳	倒账
候著	候着
候著書	候著书
候著作	候著作
候著名	候著名
候著錄	候著录
候著稱	候著称
候著者	候著者
候著述	候著述
倚著	倚着
借著	借着
藉著	借着
借著書	借著书
借著作	借著作
借著名	借著名
借著錄	借著录
借著稱	借著称
借著者	借著者
借著述	借著述
假帳	假账
做著	做着
做著書	做著书
做著作	做著作
做著名	做著名
做著錄	做著录
做著稱	做著称
做著者	做著者
做著述	做著述
偷著	偷着
偷著書	偷著书
偷著作	偷著作
偷著名	偷著名
偷著錄	偷著录
偷著稱	偷著称
偷著者	偷著者
偷著述	偷著述
傅利葉	傅里叶
光著	光着
光著《	光著《
光著書	光著书
光著作	光著作
光著名	光著名
光著錄	光著录
光著称	光著称
光著稱	光著称
光著者	光著者
光著述	光著述
光碟機	光驱
柯林頓	克林顿
克羅埃西亞	克罗地亚
轉殖	克隆
複製人	克隆人
入帳	入账
八進位制	八进位制
八進位	八进制
西元1	公元1
西元2	公元2
西元3	公元3
西元4	公元4
西元5	公元5
西元6	公元6
西元7	公元7
西元8	公元8
西元9	公元9
西元前	公元前
公帳	公账
六進位制	六进位制
六進位	六进制
關著	关着
關係著	关系着
關著書	关著书
關著作	关著作
關著名	关著名
關著錄	关著录
關著稱	关著称
關著者	关著者
關著述	关著述
關帳	关账
記憶體	内存
奈洛比	内罗毕
甘比亞	冈比亚
冒著	冒着
冒著書	冒著书
冒著作	冒著作
冒著名	冒著名
冒著錄	冒著录
冒著稱	冒著称
冒著者	冒著者
冒著述	冒著述
寫著	写着
寫著書	写著书
寫著作	写著作
寫著名	写著名
寫著錄	写著录
寫著稱	写著称
寫著者	写著者
寫著述	写著述
沖著	冲着
衝著	冲着
沖著。	冲著。
沖著《	冲著《
沖著（	冲著（
沖著，	冲著，
沖帳	冲账
涼著	凉着
涼著書	凉著书
涼著作	凉著作
涼著名	凉著名
涼著錄	凉著录
涼著稱	凉著称
涼著者	凉著者
涼著述	凉著述
湊合著	凑合着
畿內亞	几内亚
幾內亞比索	几内亚比绍
機率	几率
憑著	凭着
憑著作	凭著作
憑著名	凭著名
憑著者	凭著者
凱薩琳	凯瑟琳
嘉芙蓮	凯瑟琳
份內	分内
份外	分外
分佈著	分布着
分布著	分布着
解像度	分辨率
解析度	分辨率
份量	分量
車諾比	切尔诺贝利
劃著	划着
李奧納多	列奥那多
列支敦斯登	列支敦士登
賴比瑞亞	利比里亚
別著	别着
刮著	刮着
颳著	刮着
到帳	到账
制著	制着
制著書	制著书
制著作	制著作
制著名	制著名
制著錄	制著录
制著稱	制著称
制著者	制著者
制著述	制著述
煞車	刹车
刻著	刻着
刻著書	刻著书
刻著作	刻著作
刻著名	刻著名
刻著錄	刻著录
刻著称	刻著称
刻著稱	刻著称
刻著者	刻著者
刻著述	刻著述
前波莫瑞	前波美拉尼亚
辦著	办着
辦著書	办著书
辦著作	办著作
辦著名	办著名
辦著錄	办著录
辦著稱	办著称
辦著者	办著者
辦著述	办著述
加薩走廊	加沙地带
加泰隆尼亞	加泰罗尼亚
迦納	加纳
加彭	加蓬
動著	动着
動著書	动著书
動著作	动著作
動著名	动著名
動著錄	动著录
動著稱	动著称
動著者	动著者
動著述	动著述
努力著	努力着
努力著書	努力著书
努力著作	努力著作
努力著名	努力著名
努力著錄	努力著录
努力著称	努力著称
努力著稱	努力著称
努力著者	努力著者
努力著述	努力著述
蘿拉	劳拉
布蘭登堡	勃兰登堡
白朗寧	勃朗宁
包著	包着
十進位制	十进位制
十進位	十进制
公升	升
單眼相機	单反相机
單鏡反光機	单反相机
南斯拉夫聯邦共和國	南斯拉夫联盟共和国
波札那	博茨瓦纳
占著	占着
占著作	占著作
占著名	占著名
占著者	占著者
喀拉蚩	卡拉奇
卡斯楚	卡斯特罗
卡佩雅蒂	卡普里亚蒂
盧安達	卢旺达
羅浮宮	卢浮宫
羅亞爾	卢瓦尔
印著	印着
印著《	印著《
印著書	印著书
印著作	印著作
印著名	印著名
印著錄	印著录
印著稱	印著称
印著者	印著者
印著述	印著述
瓜地馬拉	危地马拉
聖嬰現象	厄尔尼诺现象
厄瓜多	厄瓜多尔
厄瓜多尔	厄瓜多尔
厄瓜多爾	厄瓜多尔
厄利垂亚	厄立特里亚
厄利垂亞	厄立特里亚
厄立特里亞	厄立特里亚
壓著	压着
壓著書	压著书
壓著作	压著作
壓著名	压著名
壓著錄	压著录
壓著稱	压著称
壓著者	压著者
壓著述	压著述
發著	发着
發著《	发著《
發著作	发著作
發著名	发著名
發著稱	发著称
發著者	发著者
受著	受着
受著書	受著书
受著作	受著作
受著名	受著名
受著錄	受著录
受著稱	受著称
受著者	受著者
受著述	受著述
變著	变着
變著書	变著书
變著作	变著作
變著名	变著名
變著錄	变著录
變著稱	变著称
變著者	变著者
變著述	变著述
隻字片語	只字片语
隻言片語	只言片语
唯讀	只读
叫著	叫着
叫著書	叫著书
叫著作	叫著作
叫著名	叫著名
叫著錄	叫著录
叫著稱	叫著称
叫著者	叫著者
叫著述	叫著述
桌上型電腦	台式电脑
撞球	台球
台帳	台账
叱吒	叱咤
吃著	吃着
結他	吉他
健力士世界紀錄	吉尼斯世界纪录
金氏世界紀錄	吉尼斯世界纪录
吉布地	吉布提
吊著	吊着
名份	名分
向著	向着
向著書	向著书
向著作	向著作
向著名	向著名
向著錄	向著录
向著稱	向著称
向著者	向著者
向著述	向著述
含著	含着
含著書	含著书
含著作	含著作
含著名	含著名
含著錄	含著录
含著稱	含著称
含著者	含著者
含著述	含著述
聽著	听着
聽著書	听著书
聽著作	听著作
聽著名	听著名
聽著錄	听著录
聽著稱	听著称
聽著者	听著者
聽著述	听著述
吹著	吹着
吹著書	吹著书
吹著作	吹著作
吹著名	吹著名
吹著錄	吹著录
吹著稱	吹著称
吹著者	吹著者
吹著述	吹著述
呆著	呆着
呆帳	呆账
味著	味着
味著書	味著书
味著作	味著作
味著名	味著名
味著錄	味著录
味著称	味著称
味著稱	味著称
味著者	味著者
味著述	味著述
咖哩	咖喱
諮	谘
咬著	咬着
響著	响着
響著書	响著书
響著作	响著作
響著名	响著名
響著錄	响著录
響著稱	响著称
響著者	响著者
響著述	响著述
哥斯大黎加	哥斯达黎加
哥德式	哥特式
哭著	哭着
哭著書	哭著书
哭著作	哭著作
哭著名	哭著名
哭著錄	哭著录
哭著稱	哭著称
哭著者	哭著者
哭著述	哭著述
唐納·川普	唐纳德·特朗普
當勞·特朗普	唐纳德·特朗普
當奴·特朗普	唐纳德·特朗普
唱著	唱着
唱著書	唱著书
唱著作	唱著作
唱著名	唱著名
唱著錄	唱著录
唱著稱	唱著称
唱著者	唱著者
唱著述	唱著述
啸吒	啸咤
喜歡著	喜欢着
喝著	喝着
喝著書	喝著书
喝著作	喝著作
喝著名	喝著名
喝著錄	喝著录
喝著稱	喝著称
喝著者	喝著者
喝著述	喝著述
嗅著	嗅着
雜訊	噪声
嚷著	嚷着
嚷著書	嚷著书
嚷著作	嚷著作
嚷著名	嚷著名
嚷著錄	嚷著录
嚷著稱	嚷著称
嚷著者	嚷著者
嚷著述	嚷著述
回著	回着
回著名	回著名
因著	因着
因著〈	因著〈
因著《	因著《
因著書	因著书
因著作	因著作
因著名	因著名
因著录	因著录
因著錄	因著录
因著稱	因著称
因著者	因著者
因著述	因著述
困著	困着
困著書	困著书
困著作	困著作
困著名	困著名
困著錄	困著录
困著稱	困著称
困著者	困著者
困著述	困著述
圍著	围着
圍著書	围著书
圍著作	围著作
圍著名	围著名
圍著錄	围著录
圍著稱	围著称
圍著者	围著者
圍著述	围著述
韌體	固件
固著	固着
西洋棋	国际象棋
土魯斯	图卢兹
吐瓦魯	图瓦卢
原子筆	圆珠笔
聖佐治	圣乔治
汕埠	圣佩德罗苏拉
聖露西亞	圣卢西亚
聖地牙哥	圣地亚哥
聖克里斯多福及尼維斯	圣基茨和尼维斯
聖吉斯納域斯	圣基茨和尼维斯
聖多美普林西比	圣多美和普林西比
聖文森及格瑞那丁	圣文森特和格林纳丁斯
聖文森國	圣文森特和格林纳丁斯
聖馬利諾	圣马力诺
在等著	在等着
蓋亞那	圭亚那
坐著	坐着
坐著書	坐著书
坐著作	坐著作
坐著名	坐著名
坐著錄	坐著录
坐著稱	坐著称
坐著者	坐著者
坐著述	坐著述
坚杜拜	坚杜拜
堅杜拜	坚杜拜
堅貞著	坚贞着
坦尚尼亞	坦桑尼亚
伊波拉	埃博拉
衣索匹亞	埃塞俄比亚
衣索比亞	埃塞俄比亚
艾菲爾	埃菲尔
葉里溫	埃里温
埋著	埋着
功能變數名稱	域名
網域名稱	域名
蓋達組織	基地组织
阿爾蓋達組織	基地组织
吉里巴斯	基里巴斯
堂姊	堂姐
菫	堇
坎培拉	堪培拉
塑膠袋	塑料袋
塞爾維亞與蒙特內哥羅	塞尔维亚和黑山
獅子山共和國	塞拉利昂共和国
塞普勒斯	塞浦路斯
賽普勒斯	塞浦路斯
塞維亞	塞维利亚
西維爾	塞维利亚
塞席爾	塞舌尔
音效卡	声卡
備著	备着
備著書	备著书
備著作	备著作
備著名	备著名
備著錄	备著录
備著稱	备著称
備著者	备著者
備著述	备著述
外部連結	外部链接
托巴哥	多巴哥
都卜勒	多普勒
玻利維亞多民族國	多民族玻利维亚国
多明尼加	多米尼加
大姊	大姐
大姊姊	大姐姐
大寮	大寮
天份	天分
太陽電腦	太阳微系统
昇陽電腦	太阳微系统
夾著	夹着
夾著書	夹著书
夾著作	夹著作
夾著名	夹著名
夾著錄	夹著录
夾著稱	夹著称
夾著者	夹著者
夾著述	夹著述
賓士	奔驰
歐巴馬	奥巴马
奧拉夫·蕭茲	奥拉夫·朔尔茨
柯德莉·夏萍	奥黛丽·赫本
忌廉	奶油
荷里活	好莱坞
姊夫	姐夫
姊姊	姐姐
姊弟	姐弟
威爾斯	威尔士
字型大小	字号
欄位	字段
位元組	字节
存在著	存在着
存著	存着
存著作	存著作
存著名	存著名
學姊	学姐
學著	学着
學著書	学著书
學著作	学著作
學著名	学著名
學著錄	学著录
學著稱	学著称
學著者	学著者
學著述	学著述
太空飛行員	宇航员
太空衣	宇航服
守著	守着
守著書	守著书
守著作	守著作
守著名	守著名
守著錄	守著录
守著称	守著称
守著稱	守著称
守著者	守著者
守著述	守著述
安哈特	安哈尔特
安地卡	安提瓜
安地卡及巴布達	安提瓜和巴布达
巨集	宏
定著	定着
定著《	定著《
定著書	定著书
定著作	定著作
定著名	定著名
定著錄	定著录
定著称	定著称
定著稱	定著称
定著者	定著者
定著述	定著述
波里活	宝莱坞
宣告著	宣告着
宿霧	宿务
密执安	密歇根
密西根	密歇根
對著	对着
對著書	对著书
對著作	对著作
對著名	对著名
對著錄	对著录
對著稱	对著称
對著者	对著者
對著述	对著述
對帳	对账
尋著	寻着
尋著書	寻著书
尋著作	寻著作
尋著名	寻著名
尋著錄	寻著录
尋著稱	寻著称
尋著者	寻著者
尋著述	寻著述
飛彈	导弹
尊敬著	尊敬着
祖雲達斯	尤文图斯
就等著	就等着
奈及利亞	尼日利亚
尼日共和國	尼日尔共和国
區域網	局域网
區域網路	局域网络
展著	展着
展著《	展著《
展著書	展著书
展著作	展著作
展著名	展著名
展著錄	展著录
展著稱	展著称
展著者	展著者
展著述	展著述
瓦倫西亞	巴伦西亚
華倫西亞	巴伦西亚
峇里	巴厘
巴塞隆拿	巴塞罗那
巴塞隆納	巴塞罗那
巴斯拉	巴士拉
帕邁拉環礁	巴尔米拉环礁
巴貝多	巴巴多斯
布殊	布什
布吉納法索	布基纳法索
布拉提斯拉瓦	布拉迪斯拉发
布隆泉	布隆方丹
蒲隆地	布隆迪
希冀著	希冀着
席哈克	希拉克
希拉莉	希拉里
希拉蕊	希拉里
希特拉	希特勒
帛琉	帕劳
派屈克	帕特里克
頻寬	带宽
帶著	带着
帶著書	带著书
帶著作	带著作
帶著名	带著名
帶著錄	带著录
帶著稱	带著称
帶著者	带著者
帶著述	带著述
幫著	帮着
幫著書	帮著书
幫著作	帮著作
幫著名	帮著名
幫著錄	帮著录
幫著稱	帮著称
幫著者	帮著者
幫著述	帮著述
乾姊	干姐
幹著	干着
幹著名	幹著名
幹著稱	幹著称
庇護著	庇护着
庫德人	库尔德人
庫德斯坦	库尔德斯坦
庫德族	库尔德族
應用程式	应用程序
應著	应着
應著書	应著书
應著作	应著作
應著名	应著名
應著錄	应著录
應著稱	应著称
應著者	应著者
應著述	应著述
建帳	建账
克卜勒	开普勒
開機率	开机率
開著	开着
開著書	开著书
開著作	开著作
開著名	开著名
開著錄	开著录
開著稱	开著称
開著者	开著者
開著述	开著述
開帳	开账
非同步	异步
若且唯若	当且仅当
當著	当着
當著書	当著书
當著作	当著作
當著名	当著名
當著錄	当著录
當著稱	当著称
當著者	当著者
當著述	当著述
錄影帶	录像带
形上學	形而上学
澈底	彻底
逕入	径入
逕到	径到
逕取	径取
逕啟	径启
逕寄	径寄
逕庭	径庭
逕往	径往
逕流	径流
逕自	径自
逕行	径行
逕迎	径迎
待著	待着
待著書	待著书
待著作	待著作
待著名	待著名
待著錄	待著录
待著稱	待著称
待著者	待著者
待著述	待著述
得著	得着
得著書	得著书
得著作	得著作
得著名	得著名
得著錄	得著录
得著稱	得著称
得著者	得著者
得著述	得著述
御姊	御姐
迴圈	循环
循著	循着
循著書	循著书
循著作	循著作
循著名	循著名
循著錄	循著录
循著稱	循著称
循著者	循著者
循著述	循著述
迪特里克堡	德特里克堡
德勒斯登	德累斯顿
德希達	德里达
心著	心着
心著《	心著《
心著書	心著书
心著作	心著作
心著名	心著名
心著錄	心著录
心著称	心著称
心著稱	心著称
心著者	心著者
心著述	心著述
忍著	忍着
忍著書	忍著书
忍著作	忍著作
忍著名	忍著名
忍著錄	忍著录
忍著稱	忍著称
忍著者	忍著者
忍著述	忍著述
忙著	忙着
忙著書	忙著书
忙著作	忙著作
忙著名	忙著名
忙著錄	忙著录
忙著稱	忙著称
忙著者	忙著者
忙著述	忙著述
忠貞著	忠贞着
懷著	怀着
懷著《	怀著《
懷著書	怀著书
懷著作	怀著作
懷著名	怀著名
懷著錄	怀著录
懷著稱	怀著称
懷著者	怀著者
懷著述	怀著述
急著	急着
急著書	急著书
急著作	急著作
急著名	急著名
急著錄	急著录
急著稱	急著称
急著者	急著者
急著述	急著述
匯流排	总线
總帳	总账
戀著	恋着
戀著書	恋著书
戀著作	恋著作
戀著名	恋著名
戀著錄	恋著录
戀著稱	恋著称
戀著者	恋著者
戀著述	恋著述
恰如其份	恰如其分
悠著	悠着
悠著書	悠著书
悠著作	悠著作
悠著名	悠著名
悠著錄	悠著录
悠著稱	悠著称
悠著者	悠著者
悠著述	悠著述
情境喜劇	情景喜剧
處境喜劇	情景喜剧
慣著	惯着
慣著書	惯著书
慣著作	惯著作
慣著名	惯著名
慣著錄	惯著录
慣著稱	惯著称
慣著者	惯著者
慣著述	惯著述
想著	想着
想著書	想著书
想著作	想著作
想著名	想著名
想著錄	想著录
想著称	想著称
想著稱	想著称
想著者	想著者
想著述	想著述
義大利	意大利
義裔	意裔
戈巴契夫	戈尔巴乔夫
成份股	成份股
成份	成分
戰著	战着
戰著書	战著书
戰著作	战著作
戰著名	战著名
戰著錄	战著录
戰著稱	战著称
戰著者	战著者
戰著述	战著述
坎城	戛纳
黛安娜	戴安娜
戴著	戴着
戴著書	戴著书
戴著作	戴著作
戴著名	戴著名
戴著錄	戴著录
戴著稱	戴著称
戴著者	戴著者
戴著述	戴著述
索羅門群島	所罗门群岛
紮著	扎着
紮著書	扎著书
紮著作	扎著作
紮著名	扎著名
紮著錄	扎著录
紮著稱	扎著称
紮著者	扎著者
紮著述	扎著述
列印	打印
印表機	打印机
打著	打着
打著書	打著书
打著作	打著作
打著名	打著名
打著錄	打著录
打著稱	打著称
打著者	打著者
打著述	打著述
扛著	扛着
扛著書	扛著书
扛著作	扛著作
扛著名	扛著名
扛著錄	扛著录
扛著稱	扛著称
扛著者	扛著者
扛著述	扛著述
掃瞄	扫描
掃瞄器	扫描仪
抓著	抓着
抓著作	抓著作
抓著名	抓著名
抓著錄	抓著录
抓著稱	抓著称
抓著者	抓著者
抓著述	抓著述
投機份子	投机分子
搶著	抢着
護著	护着
護著書	护著书
護著作	护著作
護著名	护著名
護著錄	护著录
護著稱	护著称
護著者	护著者
護著述	护著述
報帳	报账
披頭四	披头士
披著	披着
披著書	披著书
披著作	披著作
披著名	披著名
披著錄	披著录
披著稱	披著称
披著者	披著者
披著述	披著述
抬著	抬着
抬著作	抬著作
抬著名	抬著名
抬著錄	抬著录
抬著稱	抬著称
抬著者	抬著者
抬著述	抬著述
抱著	抱着
抱著作	抱著作
抱著名	抱著名
抱著錄	抱著录
抱著稱	抱著称
抱著者	抱著者
抱著述	抱著述
擔著	担着
拉著	拉着
拉著書	拉著书
拉著作	拉著作
拉著名	拉著名
拉著錄	拉著录
拉著稱	拉著称
拉著者	拉著者
拉著述	拉著述
拎著	拎着
拎著作	拎著作
拎著名	拎著名
拎著錄	拎著录
拎著稱	拎著称
拎著者	拎著者
拎著述	拎著述
拖著	拖着
拖著作	拖著作
拖著名	拖著名
拖著錄	拖著录
拖著稱	拖著称
拖著者	拖著者
拖著述	拖著述
拼著	拼着
拼著作	拼著作
拼著名	拼著名
拼著錄	拼著录
拼著稱	拼著称
拼著者	拼著者
拼著述	拼著述
拿著	拿着
拿著作	拿著作
拿著名	拿著名
拿著錄	拿著录
拿著稱	拿著称
拿著者	拿著者
拿著述	拿著述
持著	持着
持著作	持著作
持著名	持著名
持著錄	持著录
持著稱	持著称
持著者	持著者
持著述	持著述
掛著	挂着
挑著	挑着
挑著作	挑著作
挑著名	挑著名
挑著錄	挑著录
挑著稱	挑著称
挑著者	挑著者
挑著述	挑著述
擋著	挡着
擋著作	挡著作
擋著名	挡著名
擋著錄	挡著录
擋著稱	挡著称
擋著者	挡著者
擋著述	挡著述
掙著	挣着
掙著書	挣著书
掙著作	挣著作
掙著名	挣著名
掙著錄	挣著录
掙著稱	挣著称
掙著者	挣著者
掙著述	挣著述
揮著	挥着
揮著作	挥著作
揮著名	挥著名
揮著錄	挥著录
揮著稱	挥著称
揮著者	挥著者
揮著述	挥著述
挨著	挨着
挨著作	挨著作
挨著名	挨著名
挨著錄	挨著录
挨著稱	挨著称
挨著者	挨著者
挨著述	挨著述
捆著	捆着
捆著作	捆著作
捆著名	捆著名
捆著錄	捆著录
捆著稱	捆著称
捆著者	捆著者
捆著述	捆著述
據著	据着
據著書	据著书
據著作	据著作
據著名	据著名
據著錄	据著录
據著稱	据著称
據著者	据著者
據著述	据著述
積架	捷豹
掖著	掖着
掖著作	掖著作
掖著名	掖著名
掖著錄	掖著录
掖著稱	掖著称
掖著者	掖著者
掖著述	掖著述
接著	接着
接著作	接著作
接著名	接著名
接著錄	接著录
接著稱	接著称
接著者	接著者
接著述	接著述
控制項	控件
揉著	揉着
揉著書	揉著书
揉著作	揉著作
揉著名	揉著名
揉著錄	揉著录
揉著稱	揉著称
揉著者	揉著者
揉著述	揉著述
提著	提着
提著作	提著作
提著名	提著名
提著錄	提著录
提著稱	提著称
提著者	提著者
提著述	提著述
外掛程式	插件
握著	握着
握著作	握著作
握著名	握著名
摟著	搂着
摟著作	搂著作
摟著名	搂著名
摟著錄	搂著录
摟著稱	搂著称
摟著者	搂著者
摟著述	搂著述
搜尋引擎	搜索引擎
擺著	摆着
擺著作	摆著作
擺著名	摆著名
擺著錄	摆著录
擺著稱	摆著称
擺著者	摆著者
擺著述	摆著述
電單車	摩托车
摸著	摸着
撑著	撑着
戴卓爾	撒切尔
柴契爾	撒切尔
撼著	撼着
撼著書	撼著书
撼著作	撼著作
撼著名	撼著名
撼著錄	撼著录
撼著稱	撼著称
撼著者	撼著者
撼著述	撼著述
作業系統	操作系统
收錄著	收录着
收帳	收账
放著	放着
放著作	放著作
放著名	放著名
放著称	放著称
放著稱	放著称
放帳	放账
敞著	敞着
敞著作	敞著作
敞著名	敞著名
敞著錄	敞著录
敞著稱	敞著称
敞著者	敞著者
敞著述	敞著述
散佈著	散布着
散布著	散布着
數位訊號	数字信号
數碼訊號	数字信号
數位化	数字化
數位技術	数字技术
數位電視	数字电视
數碼電視	数字电视
數位音樂	数字音乐
資料庫	数据库
數著	数着
數位照相機	数码照相机
數位相機	数码相机
數著作	数著作
數著名	数著名
數著錄	数著录
數著稱	数著称
數著者	数著者
數著述	数著述
敲著	敲着
汶萊	文莱
鬥著	斗着
鬥著書	斗著书
鬥著作	斗著作
鬥著名	斗著名
鬥著錄	斗著录
鬥著稱	斗著称
鬥著者	斗著者
鬥著述	斗著述
斥著	斥着
斥著書	斥著书
斥著作	斥著作
斥著名	斥著名
斥著錄	斥著录
斥著稱	斥著称
斥著者	斥著者
斥著述	斥著述
史丹福大學	斯坦福大学
斯堪地那維亞	斯堪的纳维亚
史達林	斯大林
史瓦帝尼	斯威士兰
史瓦濟蘭	斯威士兰
斯洛維尼亞	斯洛文尼亚
史特勞斯	斯特劳斯
史高比耶	斯科普里
司諾克	斯诺克
士碌架	斯诺克
紐幾內亞	新几内亚
紐澤西	新泽西
紐西蘭	新西兰
舊帳	旧账
三藩市	旧金山
昂山素姬	昂山素季
翁山蘇姬	昂山素季
昂著	昂着
昂著書	昂著书
昂著作	昂著作
昂著名	昂著名
昂著錄	昂著录
昂著稱	昂著称
昂著者	昂著者
昂著述	昂著述
明白帳	明白账
映著	映着
映著書	映著书
映著作	映著作
映著名	映著名
映著錄	映著录
映著稱	映著称
映著者	映著者
映著述	映著述
顯示卡	显卡
显著	显著
顯著	显著
晃著	晃着
晃著作	晃著作
晃著名	晃著名
晃著錄	晃著录
晃著稱	晃著称
晃著者	晃著者
晃著述	晃著述
普利茲	普利策
普立茲獎	普利策奖
蒲美蓬	普密蓬
蒲朗克	普朗克
電晶體	晶体管
智慧型	智能
智慧卡	智能卡
智慧手機	智能手机
智慧機器人	智能机器人
暗著	暗着
暗著書	暗著书
暗著作	暗著作
暗著名	暗著名
暗著錄	暗著录
暗著稱	暗著称
暗著者	暗著者
暗著述	暗著述
有著	有着
有著書	有著书
有著作	有著作
有著名	有著名
有著錄	有著录
有著稱	有著称
有著者	有著者
有著述	有著述
伺服器	服务器
望著	望着
望著作	望著作
望著名	望著名
望著錄	望著录
望著稱	望著称
望著者	望著者
望著述	望著述
朝著	朝着
朝著作	朝著作
朝著名	朝著名
朝著錄	朝著录
朝著稱	朝著称
朝著者	朝著者
朝著述	朝著述
韓戰	朝鲜战争
尾班車	末班车
賓·拉登	本·拉登
本份	本分
賓拉登	本拉登
本本份份	本本分分
班傑明	本杰明
本著	本着
本著書	本著书
本著作	本著作
本著名	本著名
本著錄	本著录
本著稱	本著称
本著者	本著者
本著述	本著述
本帳	本账
樸茨茅夫	朴茨茅斯
機械人	机器人
工具機	机床
殺著	杀着
殺著書	杀著书
殺著作	杀著作
殺著名	杀著名
殺著錄	杀著录
殺著稱	杀著称
殺著者	杀著者
殺著述	杀著述
雜著	杂着
雜著書	杂著书
雜著作	杂著作
雜著名	杂著名
雜著錄	杂著录
雜著稱	杂著称
雜著者	杂著者
雜著述	杂著述
杜塞道夫	杜塞尔多夫
束著	束着
來著	来着
來著書	来著书
來著作	来著作
來著名	来著名
來著錄	来著录
來著稱	来著称
來著者	来著者
來著述	来著述
